run,K,alpha_word,alpha_ent,evaluation_result
18,100,0.5,0.30,48.7307
18,100,0.5,0.40,58.8870
18,200,0.2,0.30,48.6650
18,200,0.2,0.40,54.6730
18,200,0.3,0.30,46.3623
18,200,0.3,0.40,45.8520
18,200,0.4,0.30,51.2386
18,200,0.4,0.40,39.8930
18,200,0.5,0.30,49.9582
18,200,0.5,0.40,41.5160
19,20,0.2,0.30,52.5647
19,20,0.2,0.40,48.0600
19,20,0.3,0.30,52.5647
19,20,0.3,0.40,54.5420
19,20,0.4,0.30,53.2694
19,20,0.4,0.40,52.5910
19,20,0.5,0.30,54.6433
19,20,0.5,0.40,49.4460
19,50,0.2,0.30,54.1576
19,50,0.2,0.40,41.5780
19,50,0.3,0.30,50.9176
19,50,0.3,0.40,48.3190
19,50,0.4,0.30,51.7656
19,50,0.4,0.40,35.8410
19,50,0.5,0.30,54.1875
19,50,0.5,0.40,51.6070
19,100,0.2,0.30,51.9516
19,100,0.2,0.40,45.5730
19,100,0.3,0.30,48.2140
19,100,0.3,0.40,45.0260
19,100,0.4,0.30,52.3672
19,100,0.4,0.40,55.8230
19,100,0.5,0.30,52.5586
19,100,0.5,0.40,44.8710
19,200,0.2,0.30,54.6204
19,200,0.2,0.40,52.0170
19,200,0.3,0.30,48.9297
19,200,0.3,0.40,53.2080
19,200,0.4,0.30,55.6022
19,200,0.4,0.40,37.6260
19,200,0.5,0.30,46.9771
19,200,0.5,0.40,48.8050
20,20,0.2,0.30,52.1581
20,20,0.2,0.40,41.4870
20,20,0.3,0.30,52.5647
20,20,0.3,0.40,64.6080
20,20,0.4,0.30,53.2694
20,20,0.4,0.40,47.5490
20,20,0.5,0.30,54.6433
20,20,0.5,0.40,46.8440
20,50,0.2,0.30,48.1856
20,50,0.2,0.40,36.7750
20,50,0.3,0.30,52.5267
20,50,0.3,0.40,48.9080
20,50,0.4,0.30,51.7213
20,50,0.4,0.40,60.1080
20,50,0.5,0.30,50.1874
20,50,0.5,0.40,63.9360
20,100,0.2,0.30,43.6678
20,100,0.2,0.40,59.7670
20,100,0.3,0.30,47.0384
20,100,0.3,0.40,43.9280
20,100,0.4,0.30,45.9443
20,100,0.4,0.40,48.7450
20,100,0.5,0.30,55.6462
20,100,0.5,0.40,45.6930
20,200,0.2,0.30,48.3101
20,200,0.2,0.40,46.3490
20,200,0.3,0.30,52.1964
20,200,0.3,0.40,34.7110
20,200,0.4,0.30,50.9368
20,200,0.4,0.40,38.5510
20,200,0.5,0.30,51.5035
20,200,0.5,0.40,59.6040
