run,K,alpha_word,alpha_ent,evaluation_result
14,50,0.5,0.40,57.228
14,100,0.2,0.30,41.9402
14,100,0.2,0.40,57.228
14,100,0.3,0.30,41.9402
14,100,0.3,0.40,57.228
14,100,0.4,0.30,42.2714
14,100,0.4,0.40,57.228
14,100,0.5,0.30,47.717099999999995
14,100,0.5,0.40,57.228
14,200,0.2,0.30,50.6575
14,200,0.2,0.40,57.228
14,200,0.3,0.30,50.434200000000004
14,200,0.3,0.40,57.228
14,200,0.4,0.30,51.7744
14,200,0.4,0.40,57.228
14,200,0.5,0.30,49.12029999999999
14,200,0.5,0.40,57.228
15,20,0.2,0.30,52.564699999999995
15,20,0.2,0.40,57.228
15,20,0.3,0.30,52.564699999999995
15,20,0.3,0.40,57.228
15,20,0.4,0.30,53.2694
15,20,0.4,0.40,57.228
15,20,0.5,0.30,54.6433
15,20,0.5,0.40,57.228
15,50,0.2,0.30,47.664899999999996
15,50,0.2,0.40,57.228
15,50,0.3,0.30,48.4593
15,50,0.3,0.40,57.228
15,50,0.4,0.30,45.149899999999995
15,50,0.4,0.40,57.228
15,50,0.5,0.30,46.2488
15,50,0.5,0.40,57.228
15,100,0.2,0.30,41.9402
15,100,0.2,0.40,57.228
15,100,0.3,0.30,41.9402
15,100,0.3,0.40,57.228
15,100,0.4,0.30,42.2714
15,100,0.4,0.40,57.228
15,100,0.5,0.30,47.717099999999995
15,100,0.5,0.40,57.228
15,200,0.2,0.30,50.6575
15,200,0.2,0.40,57.228
15,200,0.3,0.30,50.434200000000004
15,200,0.3,0.40,57.228
15,200,0.4,0.30,51.7744
15,200,0.4,0.40,57.228
15,200,0.5,0.30,49.12029999999999
15,200,0.5,0.40,57.228
16,20,0.2,0.30,52.564699999999995
16,20,0.2,0.40,57.228
16,20,0.3,0.30,52.564699999999995
16,20,0.3,0.40,57.228
16,20,0.4,0.30,53.2694
16,20,0.4,0.40,57.228
16,20,0.5,0.30,54.6433
16,20,0.5,0.40,57.228
16,50,0.2,0.30,47.664899999999996
16,50,0.2,0.40,57.228
16,50,0.3,0.30,48.4593
16,50,0.3,0.40,57.228
16,50,0.4,0.30,45.149899999999995
16,50,0.4,0.40,57.228
16,50,0.5,0.30,46.2488
16,50,0.5,0.40,57.228
16,100,0.2,0.30,41.9402
16,100,0.2,0.40,57.228
16,100,0.3,0.30,41.9402
16,100,0.3,0.40,57.228
16,100,0.4,0.30,42.2714
16,100,0.4,0.40,57.228
16,100,0.5,0.30,47.717099999999995
16,100,0.5,0.40,57.228
16,200,0.2,0.30,50.6575
16,200,0.2,0.40,57.228
16,200,0.3,0.30,50.434200000000004
16,200,0.3,0.40,57.228
16,200,0.4,0.30,51.7744
16,200,0.4,0.40,57.228
16,200,0.5,0.30,49.12029999999999
16,200,0.5,0.40,57.228
17,20,0.2,0.30,52.564699999999995
17,20,0.2,0.40,57.228
17,20,0.3,0.30,52.564699999999995
17,20,0.3,0.40,57.228
17,20,0.4,0.30,53.2694
17,20,0.4,0.40,57.228
17,20,0.5,0.30,54.6433
17,20,0.5,0.40,57.228
17,50,0.2,0.30,47.664899999999996
17,50,0.2,0.40,57.228
17,50,0.3,0.30,48.4593
17,50,0.3,0.40,57.228
17,50,0.4,0.30,45.149899999999995
17,50,0.4,0.40,57.228
17,50,0.5,0.30,46.2488
17,50,0.5,0.40,57.228
17,100,0.2,0.30,41.9402
17,100,0.2,0.40,57.228
